Código DDI	País/Localidade	Continente
1	EUA ou Paraísos fiscais	América do Norte/Central
20	Egipto	África/Ásia
211	Sudão do Sul	África
212	Marrocos	África
213	Argélia	África
216	Tunísia	África
218	Líbia	África
220	Gâmbia	África
221	Senegal	África
222	Mauritânia	África
223	Mali	África
224	Guiné	África
225	Costa do Marfim	África
226	Burkina Faso	África
227	Níger	África
228	Togo	África
229	Benim	África
230	Maurícia	África
231	Libéria	África
232	Serra Leoa	África
233	Gana	África
234	Nigéria	África
236	República Centro-Africana	África
237	Camarões/Chade	África
238	Cabo Verde	África
239	São Tomé e Príncipe	África
240	Guiné Equatorial	África
241	Gabão	África
242	Congo-Brazzaville	África
243	Congo-Kinshasa	África
244	Angola	África
245	Guiné-Bissau	África
246	Território Britânico do Oceano Índico	frica
247	Ascensão	África
248	Seicheles	África
249	Sudão	África
250	Ruanda	África
251	Etiópia	África
252	Somália	África
253	Djibuti	África
254	Quênia	África
255	Tanzânia	África
256	Uganda	África
257	Burundi	África
258	Moçambique	África
260	Zâmbia	África
261	Madagascar	África
262	Reunião	África
263	Zimbábue	África
264	Namíbia	África
265	Malawi	África
266	Lesoto	África
267	Botswana	África
268	Suazilândia	África
269	Comores ou Mayotte	África
27	África do Sul	África
290	Santa Helena (território)	África
291	Eritreia	África
297	Aruba	América Central
298	Ilhas Féroe	Europa
299	Groenlândia	América do Norte
30	Grécia	Europa
31	Países Baixos	Europa
32	Bélgica	Europa
33	França	Europa
34	Espanha	Europa
350	Gibraltar	Europa
351	Portugal	Europa
352	Luxemburgo	Europa
353	Irlanda	Europa
354	Islândia	Europa
355	Albânia	Europa
356	Malta	Europa
357	Chipre	Europa
358	Finlândia	Europa
359	Bulgária	Europa
36	Hungria	Europa
370	Lituânia	Europa
371	Letônia	Europa
372	Estónia	Europa
373	Moldávia	Europa
374	Armênia	Ásia
375	Bielorrússia	Europa
376	Andorra	Europa
377	Mônaco	Europa
378	São Marinho	Europa
379	Vaticano	Europa
380	Ucrânia	Europa
381	Sérvia	Europa
382	Montenegro	Europa
383	Kosovo	Europa
385	Croácia	Europa
386	Eslovénia	Europa
387	Bósnia e Herzegovina	Europa
389	República da Macedônia	Europa
39	Itália	Europa
40	Romênia	Europa
41	Suíça	Europa
420	República Tcheca	Europa
421	Eslováquia	Europa
423	Liechtenstein	Europa
43	Áustria	Europa
44	Reino Unido	Europa
45	Dinamarca	Europa
46	Suécia	Europa
47	Noruega	Europa
48	Polônia	Europa
49	Alemanha	Europa
500	Ilhas Malvinas	América do Sul
501	Belize	América Central
502	Guatemala	América Central
503	El Salvador	América Central
504	Honduras	América Central
505	Nicarágua	América Central
506	Costa Rica	América Central
507	Panamá	América Central
508	Saint-Pierre e Miquelon	América do Norte
509	Haiti	América Central
51	Peru	América do Sul
52	México	América do Norte
53	Cuba	América Central
54	Argentina	América do Sul
55	Brasil	América do Sul
56	Chile	América do Sul
57	Colômbia	América do Sul
58	Venezuela	América do Sul
590	Guadalupe	América Central
591	Bolívia	América do Sul
592	Guiana	América do Sul
593	Equador	América do Sul
594	Guiana Francesa	América do Sul
595	Paraguai	América do Sul
596	Martinica	América Central
597	Suriname	América do Sul
598	Uruguai	América do Sul
599	Antilhas Holandesas	América Central
60	Malásia	Ásia
61	Austrália	Oceania
62	Indonésia	Ásia/Oceania
63	Filipinas	Ásia
64	Nova Zelândia	Oceania
65	Singapura	Ásia
66	Tailândia	Ásia
670	Timor-Leste	Ásia
671	Guam	Oceania
672	Ilhas na Oceania	Oceania
673	Brunei	Ásia
674	Nauru	Oceania
675	Papua-Nova Guiné	Oceania
676	Tonga	Oceania
677	Ilhas Salomão	Oceania
678	Vanuatu	Oceania
679	Fiji	Oceania
680	Palau	Oceania
681	Wallis e Futuna	Oceania
682	Ilhas Cook	Oceania
683	Niue	Oceania
685	Samoa	Oceania
686	Kiribati	Oceania
687	Nova Caledônia	Oceania
688	Tuvalu	Oceania
689	Polinésia Francesa	Oceania
690	Tokelau	Oceania
691	Estados Federados da Micronésia	Oceania
692	Ilhas Marshall	Oceania
7	Rússia	Europa/Ásia
81	Japão	Ásia
82	Coreia do Sul	Ásia
84	Vietnã	Ásia
850	Coreia do Norte	Ásia
852	Hong Kong	Ásia
853	Macau	Ásia
855	Camboja	Ásia
856	Laos	Ásia
86	República Popular da China	Ásia
880	Bangladesh	Ásia
886	República da China	Ásia
90	Turquia	Ásia//Europa
91	Índia	Ásia
92	Paquistão	Ásia
93	Afeganistão	Ásia
94	Sri Lanka	Ásia
95	Myanmar	Ásia
960	Maldivas	Ásia
961	Líbano	Ásia
962	Jordânia	Ásia
963	Síria	Ásia
964	Iraque	Ásia
965	Kuwait	Ásia
966	Arábia Saudita	Ásia
967	Iêmen	Ásia
968	Omã	Ásia
970	Palestina	Ásia
971	Emirados Árabes Unidos	Ásia
972	 Israel	Ásia
973	Bahrein	Ásia
974	Qatar	Ásia
975	Butão	Ásia
976	Mongólia	Ásia
977	Nepal	Ásia
98	Irã	Ásia
992	Tadjiquistão	Ásia
993	Turquemenistão	Ásia
994	Azerbaijão	Ásia
995	Geórgia	Ásia
996	Quirguistão	Ásia
998	Uzbequistão	Ásia
